,Title,Gross,Budget,Date,Genre,Director,RT Rating,IMDB Rating,IMDB Votes
343,Freeze Frame,91062,2000000.0,2004,Thriller/Suspense,,83.0,6.3,1723.0
344,Firefox,45785720,21000000.0,1982,Action,Clint Eastwood,42.0,5.6,9348.0
345,Fargo,51204567,7000000.0,1996,Thriller/Suspense,Joel Coen,94.0,8.3,165159.0
346,First Knight,127361412,75000000.0,1995,Drama,Jerry Zucker,45.0,5.6,20928.0
347,From Russia With Love,78900000,2000000.0,1964,Action,,,7.5,32541.0
348,The Firm,270340892,42000000.0,1993,Thriller/Suspense,Sydney Pollack,76.0,5.5,957.0
349,Frenzy,12600000,3500000.0,1972,,Alfred Hitchcock,87.0,7.5,13093.0
350,Footloose,80000000,8200000.0,1984,Musical,Herbert Ross,56.0,6.0,15626.0
351,Fast Times at Ridgemont High,27092880,4500000.0,1982,Comedy,Amy Heckerling,80.0,7.2,31362.0
352,Fighting Tommy Riley,10514,300000.0,2005,Drama,,,6.6,499.0
353,The First Wives Club,181489203,30000000.0,1996,Comedy,Hugh Wilson,41.0,5.6,14682.0
354,Flirting with Disaster,14853474,7000000.0,1996,Comedy,David O. Russell,86.0,6.7,8474.0
355,For Your Eyes Only,195300000,28000000.0,1981,Action,John Glen,71.0,6.8,23527.0
356,Fiza,1179462,1000000.0,1900,Drama,,,6.5,749.0
357,Grip: A Criminal's Story,1336,12000.0,2006,Action,,,,
358,The Ghost and the Darkness,38564422,55000000.0,1996,Action,Stephen Hopkins,51.0,6.6,19735.0
359,Gallipoli,5732587,3000000.0,1981,,Peter Weir,86.0,7.7,14139.0
360,Gabriela,2335352,50000.0,2001,Drama,,,5.5,1399.0
361,"Il buono, il brutto, il cattivo",6100000,1200000.0,1967,Western,Sergio Leone,,6.8,104.0
362,Graduation Day,23894000,250000.0,1981,Thriller/Suspense,,,3.0,836.0
363,The Godfather: Part II,57300000,13000000.0,1974,,Francis Ford Coppola,,9.0,245271.0
364,The Godfather: Part III,66520529,54000000.0,1990,Drama,Francis Ford Coppola,,7.6,82977.0
365,Goodfellas,46743809,25000000.0,1990,Drama,Martin Scorsese,97.0,8.8,229156.0
366,The Godfather,268500000,7000000.0,1972,,Francis Ford Coppola,100.0,9.2,411088.0
367,God's Army,2652515,300000.0,1900,Drama,,50.0,6.8,638.0
368,The Great Escape,11744471,4000000.0,1963,,John Sturges,91.0,8.4,62074.0
369,Gory Gory Hallelujah,12604,425000.0,2005,Musical,Sue Corcoran,,5.2,134.0
370,Ghost,517600000,22000000.0,1990,Drama,Jerry Zucker,81.0,6.9,51125.0
371,Ghostbusters,291632124,30000000.0,1984,Comedy,Ivan Reitman,,6.8,358.0
372,Girl 6,4880941,12000000.0,1996,Comedy,Spike Lee,34.0,4.9,3348.0
373,Goldeneye,356429941,60000000.0,1995,Action,Martin Campbell,80.0,7.2,69199.0
374,The Glimmer Man,36404841,45000000.0,1996,Action,,13.0,4.9,7230.0
375,Glory,26593580,18000000.0,1989,Action,Edward Zwick,93.0,8.0,56427.0
376,The Gambler,101773,3000000.0,1999,Drama,,,6.1,199.0
377,Good Morning Vietnam,123922370,13000000.0,1987,Comedy,Barry Levinson,,7.2,32609.0
378,Gandhi,52767889,22000000.0,1982,Drama,Sir Richard Attenborough,85.0,8.2,50881.0
379,A Guy Named Joe,5363000,2627000.0,1943,Drama,,,6.9,869.0
380,Gentleman's Agreement,7800000,2000000.0,1947,,Elia Kazan,83.0,7.4,4637.0
381,Goodbye Bafana,2717302,30000000.0,2007,Drama,Bille August,,7.0,3631.0
382,Get on the Bus,5691854,2400000.0,1996,Drama,Spike Lee,87.0,6.7,2701.0
383,The Golden Child,79817937,12000000.0,1986,Action,Michael Ritchie,26.0,5.4,14471.0
384,Good Dick,28835,200000.0,2008,Drama,,,6.4,3004.0
385,Goldfinger,124900000,3000000.0,1964,Action,Guy Hamilton,96.0,7.9,47095.0
386,Groundhog Day,70906973,14600000.0,1993,Comedy,Harold Ramis,96.0,8.2,134964.0
387,Gremlins,148168459,11000000.0,1984,Comedy,Joe Dante,78.0,7.0,42163.0
388,Get Real,1152411,2000000.0,1999,Comedy,,,7.5,6026.0
389,Gremlins 2: The New Batch,41476097,50000000.0,1990,Comedy,Joe Dante,,6.1,22712.0
390,The Greatest Story Ever Told,15473333,20000000.0,1965,Drama,David Lean,39.0,6.3,3300.0
391,The Gospel of John,4068087,11000000.0,2003,Drama,,,,
