,Title,Gross,Budget,Date,Genre,Director,RT Rating,IMDB Rating,IMDB Votes
654,Night of the Living Dead,5835247,4200000.0,1990,Horror,,67.0,6.6,10083.0
655,Notorious,24464742,2000000.0,1946,,Alfred Hitchcock,97.0,6.3,9811.0
656,Never Say Never Again,160000000,36000000.0,1983,Action,,65.0,6.0,21247.0
657,The Nutcracker,2119994,19000000.0,1993,,Emile Ardolino,50.0,5.2,561.0
658,Nowhere to Run,52189039,15000000.0,1993,Action,,26.0,5.0,6746.0
659,Interview with the Vampire: The Vampire Chronicles,223564608,50000000.0,1994,Horror,Neil Jordan,,7.4,78953.0
660,The Nutty Professor,273814019,55000000.0,1996,Comedy,Tom Shadyac,67.0,5.6,32234.0
661,Die Unendliche Geschichte,21300000,27000000.0,1984,Adventure,Wolfgang Petersen,,7.4,25704.0
662,Interview with the Assassin,47329,750000.0,2002,,,67.0,6.6,1107.0
663,Nixon,34668249,45000000.0,1995,Drama,Oliver Stone,75.0,7.1,13761.0
664,"New York, New York",13800000,14000000.0,1977,Musical,Martin Scorsese,63.0,6.7,1692.0
665,New York Stories,10763469,15000000.0,1989,Drama,Francis Ford Coppola,74.0,6.1,6906.0
666,Obitaemyy ostrov,15000000,36500000.0,2009,Action,,,5.5,2229.0
667,Octopussy,187500000,27500000.0,1983,Action,John Glen,47.0,6.6,23167.0
668,On Deadly Ground,38590458,50000000.0,1994,Action,Steven Seagal,,3.8,9579.0
669,One Flew Over the Cuckoo's Nest,108981275,4400000.0,1975,,Milos Forman,96.0,8.9,214457.0
670,The Offspring,1355728,1100000.0,1987,Horror,Jeff Burr,,5.6,424.0
671,On Her Majesty's Secret Service,82000000,8000000.0,1969,Action,,81.0,6.9,23159.0
672,The Omen,48570885,2800000.0,1976,Horror,Richard Donner,84.0,5.4,24523.0
673,The Omega Code,12678312,7200000.0,1999,Action,,8.0,3.3,3814.0
674,Out of Africa,258210860,31000000.0,1985,Drama,Sydney Pollack,63.0,7.0,19638.0
675,Out of the Dark,419428,1600000.0,1989,,,,5.1,230.0
676,Ordinary People,52302978,6000000.0,1980,Drama,Robert Redford,91.0,7.0,138.0
677,The Other Side of Heaven,4720371,7000000.0,2001,Drama,,,6.3,1670.0
678,On the Down Low,1987,10000.0,2004,Drama,,,6.3,113.0
679,Othello,2844379,11000000.0,1995,Drama,,68.0,6.9,4289.0
680,On the Outs,49772,250000.0,2005,Drama,,,6.5,445.0
681,On the Waterfront,9600000,910000.0,1954,,Elia Kazan,100.0,8.4,41162.0
682,Outbreak,67823573,50000000.0,1995,Thriller/Suspense,Wolfgang Petersen,59.0,6.4,33192.0
683,The Outsiders,25697647,10000000.0,1983,Drama,Francis Ford Coppola,65.0,7.0,23607.0
684,The Oxford Murders,8667348,10000000.0,2010,Thriller/Suspense,,10.0,6.1,8066.0
685,Police Academy,81198894,4500000.0,1984,Comedy,Hugh Wilson,47.0,6.3,23192.0
686,Police Academy 7: Mission to Moscow,126247,10000000.0,1994,Comedy,,,2.5,13121.0
687,Paa,9791282,4300000.0,2009,,,60.0,7.3,1059.0
688,Pale Rider,41410568,6900000.0,1985,Western,Clint Eastwood,92.0,7.1,15352.0
689,Patriot Games,178100000,45000000.0,1992,Action,Phillip Noyce,75.0,6.9,29544.0
690,The Pallbearer,5656388,8000000.0,1996,Romantic Comedy,Matt Reeves,39.0,4.7,4166.0
691,Pocahontas,347100000,55000000.0,1995,Adventure,,55.0,6.0,26690.0
692,Pocketful of Miracles,5000000,2900000.0,1961,,Frank Capra,63.0,7.2,2365.0
693,PCU,4333569,9000000.0,1994,Comedy,,47.0,6.0,6967.0
694,Pete's Dragon,36000000,10000000.0,1977,,,50.0,6.0,4620.0
695,Pat Garrett and Billy the Kid,11000000,4638783.0,1973,,Sam Peckinpah,,7.3,6374.0
696,Poltergeist,121706019,10700000.0,1982,Horror,Tobe Hooper,86.0,7.4,32817.0
697,Poltergeist III,14114000,9500000.0,1988,Horror,,14.0,3.8,5387.0
698,Phantasm II,7000000,3000000.0,1988,Horror,,29.0,6.3,3781.0
699,Phenomenon,142836382,32000000.0,1996,Drama,Jon Turteltaub,50.0,6.3,26823.0
700,Philadelphia,201324422,26000000.0,1993,Drama,Jonathan Demme,74.0,7.6,53283.0
701,The Phantom,17220599,45000000.0,1996,Action,Simon Wincer,43.0,4.8,9477.0
702,Pi,4678513,68000.0,1998,Thriller/Suspense,Darren Aronofsky,86.0,7.5,53699.0
703,Pink Flamingos,413802,12000.0,1997,,John Waters,,5.8,7947.0
704,The Pirate,2956000,3700000.0,1948,,Vincente Minnelli,71.0,7.1,1635.0
705,The Planet of the Apes,33395426,5800000.0,1968,,Franklin J. Schaffner,,,
706,The Player,28876702,8000000.0,1992,Black Comedy,Robert Altman,,7.7,24451.0
707,Apollo 13,334100000,65000000.0,1995,Drama,Ron Howard,,7.5,87605.0
708,Platoon,137963328,6000000.0,1986,Drama,Oliver Stone,86.0,8.2,108641.0
709,Panic,889279,1000000.0,1900,Drama,,92.0,2.7,473.0
710,The Adventures of Pinocchio,36682170,25000000.0,1996,Adventure,Steve Barron,27.0,5.3,1734.0
711,Pandora's Box,881950,800000.0,2002,Thriller/Suspense,,,4.6,386.0
712,Pink Narcissus,8231,27000.0,1999,,,,6.0,384.0
713,Penitentiary,287000,100000.0,1980,Drama,,,5.5,233.0
714,The Pursuit of D.B. Cooper,2104164,12000000.0,1981,Adventure,Roger Spottiswoode,,5.8,442.0
715,Poetic Justice,27450453,14000000.0,1993,Drama,John Singleton,36.0,5.1,3689.0
716,Porky's,109492484,4000000.0,1982,Comedy,,,5.8,15861.0
717,"Peace, Propaganda and the Promised Land",4930,70000.0,2005,Documentary,,,3.0,75.0
718,Popeye,49823037,20000000.0,1980,,Robert Altman,56.0,4.9,11433.0
719,Predator 2,54768418,35000000.0,1990,Action,Stephen Hopkins,23.0,6.0,35411.0
720,Predator,98267558,18000000.0,1987,Action,John McTiernan,76.0,7.8,88522.0
721,The Princess Bride,30857000,15000000.0,1987,Adventure,Rob Reiner,95.0,8.1,123571.0
722,Prison,354704,4000000.0,1988,Horror,Renny Harlin,,5.8,1154.0
723,LÃˆon,45284974,16000000.0,1994,Thriller/Suspense,Luc Besson,,8.6,199762.0
724,Prophecy,21000000,12000000.0,1979,,John Frankenheimer,25.0,4.7,1381.0
725,The Prince of Tides,74787599,30000000.0,1991,Drama,Barbra Streisand,74.0,6.4,6829.0
726,Proud,0,1000000.0,2005,Drama,,,5.7,161.0
727,Pretty Woman,463400000,14000000.0,1990,Romantic Comedy,Garry Marshall,62.0,6.7,60742.0
728,Partition,0,10000000.0,2007,Drama,,40.0,6.6,1275.0
729,The Postman Always Rings Twice,44200000,12000000.0,1981,,Bob Rafelson,70.0,6.4,6886.0
730,Peggy Sue Got Married,41382841,18000000.0,1986,Comedy,Francis Ford Coppola,88.0,6.3,12457.0
731,Peter Pan,87400000,4000000.0,1953,Adventure,,83.0,7.1,16894.0
732,Pet Sematary,57469179,11500000.0,1989,Horror,,50.0,6.3,19257.0
733,Patton,62500000,12000000.0,1970,,Franklin J. Schaffner,97.0,8.1,39570.0
734,The Puffy Chair,194523,15000.0,2006,,,,6.4,1701.0
735,Pulp Fiction,212928762,8000000.0,1994,Drama,Quentin Tarantino,94.0,8.9,417703.0
736,Paint Your Wagon,31678778,20000000.0,1969,Musical,,23.0,6.5,5037.0
737,The Prisoner of Zenda,7000000,12500000.0,1979,Comedy,,,4.6,406.0
738,The Perez Family,2794056,11000000.0,1995,Comedy,Mira Nair,67.0,6.0,1177.0
739,Q,255000,1200000.0,1982,Horror,,,6.1,1899.0
740,The Quick and the Dead,18552460,32000000.0,1995,Western,Sam Raimi,56.0,6.3,27352.0
741,Quigley Down Under,21413105,20000000.0,1990,Western,Simon Wincer,60.0,6.5,6001.0
742,La Guerre du feu,20959585,12500000.0,1982,Adventure,Jean-Jacques Annaud,,7.4,6198.0
743,Quo Vadis?,30000000,8250000.0,1951,,,88.0,5.8,898.0
744,Rang De Basanti,29197694,5300000.0,2006,Drama,,,8.1,12116.0
745,Robin and Marian,8000000,5000000.0,1976,,,68.0,6.5,4800.0
746,Ransom,308700000,70000000.0,1996,Action,Ron Howard,70.0,6.6,38524.0
747,Rosemary's Baby,33395426,3200000.0,1968,,Roman Polanski,98.0,8.1,50860.0
748,Rebecca,6000000,1288000.0,1940,Drama,Alfred Hitchcock,100.0,8.4,35429.0
749,Robin Hood: Prince of Thieves,390500000,50000000.0,1991,Adventure,Kevin Reynolds,56.0,6.7,54480.0
750,Rumble in the Bronx,36238752,7500000.0,1996,Action,,,,
751,Rob Roy,31390587,28000000.0,1995,Drama,Michael Caton-Jones,71.0,6.8,15630.0
752,Raging Bull,23380203,18000000.0,1980,Drama,Martin Scorsese,98.0,8.4,90015.0
753,Richard III,4204857,9200000.0,1995,Drama,,95.0,7.5,6625.0
754,Raising Cain,21171695,11000000.0,1992,Thriller/Suspense,Brian De Palma,53.0,5.7,5135.0
755,RoboCop,53424681,13000000.0,1987,Action,Paul Verhoeven,88.0,7.6,52898.0
756,RoboCop 3,10696210,22000000.0,1993,Action,,,3.4,13310.0
757,RiÂ¢hie RiÂ¢h,38087756,40000000.0,1994,Comedy,Donald Petrie,25.0,4.7,12687.0
758,Radio Days,14792779,16000000.0,1987,Comedy,Woody Allen,95.0,7.5,10839.0
759,Radio Flyer,4651977,35000000.0,1992,Drama,Richard Donner,43.0,6.5,6210.0
760,Reservoir Dogs,2832029,1200000.0,1992,,Quentin Tarantino,96.0,8.4,212985.0
761,Raiders of the Lost Ark,386800358,20000000.0,1981,Adventure,Steven Spielberg,,8.7,242661.0
762,Red River,9012000,3000000.0,1948,,Howard Hawks,100.0,7.8,10629.0
763,Reds,50000000,33500000.0,1981,Drama,Warren Beatty,94.0,7.4,8455.0
764,Le Violon rouge,10019109,10000000.0,1999,Drama,,,7.7,14545.0
765,Red Sonja,6905861,17900000.0,1985,Action,Richard Fleischer,20.0,4.4,11896.0
766,Star Wars Ep. VI: Return of the Jedi,572700000,32500000.0,1983,Adventure,Richard Marquand,,,
767,The Return,2658490,15000000.0,2004,Drama,,,2.3,236.0
768,The Rise and Fall of Miss Thang,401,10000.0,2008,Drama,,,,
769,Roger & Me,6706368,140000.0,1989,Documentary,Michael Moore,100.0,7.5,14883.0
770,The Right Stuff,21500000,27000000.0,1983,Action,Philip Kaufman,97.0,7.9,24275.0
771,The Rocky Horror Picture Show,139876417,1200000.0,1975,Musical,,77.0,7.1,41265.0
772,Road House,30050028,10000000.0,1989,Action,,44.0,5.8,14085.0
773,Romeo Is Bleeding,3275585,10000000.0,1994,Drama,,24.0,6.3,6537.0
774,Rockaway,0,2000000.0,2007,Drama,,,4.2,232.0
775,Rocky,225000000,1000000.0,1976,,John G. Avildsen,,4.0,84.0
776,Return of the Living Dead Part II,9205924,6200000.0,1988,Horror,,,5.1,4661.0
777,The R.M.,1111615,500000.0,2003,Comedy,,64.0,5.5,449.0
778,Renaissance Man,24172899,40000000.0,1994,Comedy,Penny Marshall,,5.9,7650.0
779,Rambo: First Blood Part II,300400000,44000000.0,1985,Action,George P. Cosmatos,30.0,5.8,38548.0
780,Rambo III,188715611,58000000.0,1988,Action,,36.0,4.9,31551.0
781,Romeo+Juliet,147542381,14500000.0,1996,Drama,Baz Luhrmann,,6.5,78.0
782,Ramanujan,0,20000000.0,2007,,Stephen Fry,,,
783,Rain Man,412800000,25000000.0,1988,Comedy,Barry Levinson,87.0,8.0,106163.0
784,Rapa Nui,305070,20000000.0,1994,,Kevin Reynolds,,6.1,2081.0
785,Roar,2000000,17000000.0,1981,,,,5.9,228.0
786,The Robe,36000000,5000000.0,1953,,,38.0,6.7,2913.0
787,The Rock,336069511,75000000.0,1996,Action,Michael Bay,66.0,7.2,108324.0
788,The Remains of the Day,63954968,15000000.0,1993,Drama,James Ivory,97.0,7.9,21736.0
789,Airplane!,83453539,3500000.0,1980,Comedy,Jerry Zucker,98.0,7.8,57000.0
790,Repo Man,2300000,1500000.0,1984,Comedy,,97.0,6.7,12438.0
791,Rocket Singh: Salesman of the Year,5348767,1070000.0,2009,,,,7.5,1436.0
792,Raise the Titanic,7000000,40000000.0,1980,,,60.0,3.9,1757.0
793,Restoration,4100000,18000000.0,1995,Drama,,,6.5,4024.0
794,The Return of the Living Dead,14237880,4000000.0,1985,Horror,,88.0,7.1,13621.0
795,Rejsen til Saturn,2783634,2700000.0,2008,Comedy,,,5.9,849.0
796,Return to the Land of Wonders,1338,5000.0,2005,Documentary,,,8.5,35.0
797,Return to Oz,10618813,27000000.0,1985,Adventure,,55.0,6.7,7491.0
798,The Running Man,38122000,30000000.0,1987,Action,Paul Michael Glaser,63.0,6.4,36308.0
799,Run Lola Run,14533173,1750000.0,1999,Thriller/Suspense,Tom Tykwer,,6.0,91.0
800,Revolution#9,9118,350000.0,2002,Thriller/Suspense,,,7.3,252.0
801,The River Wild,94215000,45000000.0,1994,Action,Curtis Hanson,56.0,6.2,14285.0
802,Se7en,328125643,30000000.0,1995,Thriller/Suspense,David Fincher,,8.7,278918.0
803,Safe Men,21210,1000000.0,1998,,,58.0,5.9,1743.0
804,Secrets & Lies,13417292,4500000.0,1996,Drama,Mike Leigh,94.0,7.9,14364.0
805,Sgt. Bilko,37956589,39000000.0,1996,Comedy,,33.0,5.2,9693.0
806,Sabrina,87100000,58000000.0,1995,Romantic Comedy,Sydney Pollack,61.0,6.0,15749.0
807,Subway,1663296,2000000.0,1985,Drama,Luc Besson,86.0,6.2,5904.0
808,School Daze,14545844,6000000.0,1988,Drama,Spike Lee,58.0,5.3,2667.0
809,Scarface,44942821,25000000.0,1983,Drama,Brian De Palma,88.0,8.2,152262.0
810,Schindler's List,321200000,25000000.0,1993,Drama,Steven Spielberg,97.0,8.9,276283.0
811,A Streetcar Named Desire,8000000,1800000.0,1951,,Elia Kazan,,8.1,33781.0
812,Shadow Conspiracy,2154540,45000000.0,1997,Thriller/Suspense,George P. Cosmatos,,4.7,2427.0
813,Short Cut to Nirvana: Kumbh Mela,439651,200000.0,2004,Documentary,,75.0,6.9,105.0
814,Spartacus,60000000,12000000.0,1960,Action,Stanley Kubrick,96.0,8.0,50856.0
815,Sunday,450349,450000.0,1997,Drama,,79.0,6.9,436.0
816,She Done Him Wrong,2000000,200000.0,1933,,,100.0,6.7,1795.0
817,"Secret, The",0,3500000.0,2006,Documentary,,,,
818,State Fair,3500000,4500000.0,1962,,,14.0,5.7,436.0
819,Sticky Fingers of Time,20628,250000.0,1999,Thriller/Suspense,,,,
820,Stargate - The Ark of Truth,0,7000000.0,2008,Action,,,,
821,She's Gotta Have It,7137502,175000.0,1986,Comedy,Spike Lee,93.0,6.2,2594.0
822,Stargate,196565669,55000000.0,1994,Action,Roland Emmerich,46.0,6.7,47174.0
823,The Shadow,31835600,40000000.0,1994,Action,Russell Mulcahy,34.0,5.6,9530.0
824,Show Boat,11000000,2300000.0,1951,,,89.0,6.9,1788.0
825,Shadowlands,25842377,22000000.0,1993,Drama,Sir Richard Attenborough,96.0,7.4,7689.0
826,Shanghai Surprise,2315000,17000000.0,1986,,,14.0,2.6,2591.0
827,Shalako,2620000,1455000.0,1968,,,,5.3,1090.0
828,Sheena,5778353,25000000.0,1984,Adventure,John Guillermin,38.0,4.3,1598.0
829,Shine,35811509,5500000.0,1996,Drama,Scott Hicks,90.0,7.6,22439.0
830,The Shining,44017374,19000000.0,1980,Horror,Stanley Kubrick,87.0,8.5,177762.0
831,Haakon Haakonsen,15024232,8500000.0,1991,Adventure,,,6.4,1125.0
832,Ishtar,14375181,40000000.0,1987,Comedy,,19.0,3.7,6094.0
833,Showgirls,20254932,40000000.0,1995,Drama,Paul Verhoeven,12.0,4.1,27004.0
834,The Shawshank Redemption,28241469,25000000.0,1994,Drama,Frank Darabont,88.0,9.2,519541.0
835,Silver Bullet,10803211,7000000.0,1985,Horror,,50.0,5.9,6387.0
836,Side Effects,44701,200000.0,2005,Romantic Comedy,,11.0,,
837,Set It Off,36049108,9000000.0,1996,Drama,F. Gary Gray,61.0,6.3,4570.0
838,The Silence of the Lambs,275726716,20000000.0,1991,Thriller/Suspense,Jonathan Demme,96.0,8.7,244856.0
839,Silver Medalist,0,2600000.0,2008,Black Comedy,,,,
840,Silent Trigger,76382,15000000.0,1996,,Russell Mulcahy,,5.2,1364.0
841,Thinner,15171475,14000000.0,1996,Horror,,18.0,5.3,7888.0
842,Sling Blade,34175000,4833610.0,1996,Drama,,96.0,8.0,41785.0
843,Slacker,1227508,23000.0,1991,,Richard Linklater,83.0,6.9,5907.0
844,Some Like it Hot,25000000,2883848.0,1959,,Billy Wilder,97.0,8.3,67157.0
845,The Scarlet Letter,10359006,50000000.0,1995,Drama,Roland Joffe,15.0,4.6,6155.0
846,Silmido,30298347,8500000.0,2004,Action,,,7.1,1724.0
847,Sleeper,18344729,2000000.0,1973,Comedy,Woody Allen,100.0,7.3,15466.0
848,Sleepers,165600852,44000000.0,1996,Drama,Barry Levinson,73.0,7.3,51874.0
849,The Slaughter Rule,13134,500000.0,2003,,,,6.0,1136.0
850,Solomon and Sheba,11000000,5000000.0,1959,,King Vidor,,6.0,915.0
851,Sur Le Seuil,2013052,2500000.0,2003,Drama,,,6.7,585.0
852,The Usual Suspects,23341568,6000000.0,1995,Drama,Bryan Singer,87.0,8.7,266890.0
853,Silverado,33200000,26000000.0,1985,Western,Lawrence Kasdan,76.0,7.0,14243.0
854,Salvador,1500000,4500000.0,1986,Drama,,91.0,7.5,7797.0
855,"Sex, Lies, and Videotape",36741667,1200000.0,1989,,Steven Soderbergh,97.0,,
856,Show Me,0,400000.0,2005,Thriller/Suspense,,,5.9,288.0
857,Simon,4055,1300000.0,2006,Comedy,,,8.0,4873.0
858,Super Mario Bros.,20844907,42000000.0,1993,Action,,,3.8,17281.0
859,Somewhere in Time,9709597,5100000.0,1980,Drama,,63.0,7.0,8787.0
860,Smoke Signals,7756617,2000000.0,1998,Comedy,,86.0,6.9,5058.0
861,Serial Mom,7881335,13000000.0,1994,Comedy,John Waters,61.0,6.4,10999.0
862,Sommersturm,95204,3000000.0,2006,Drama,,,7.6,5251.0
863,Silent Movie,36145695,4400000.0,1976,Comedy,Mel Brooks,89.0,6.4,6248.0
864,The Santa Clause,189800000,22000000.0,1994,Comedy,John Pasquin,79.0,6.1,17773.0
865,The Singles Ward,1250798,500000.0,2002,Comedy,,50.0,5.7,736.0
866,Sense and Sensibility,134993774,16500000.0,1995,Drama,Ang Lee,98.0,7.7,31279.0
867,Singin' in the Rain,3600000,2540000.0,1952,,Stanley Donen,100.0,8.4,55352.0
868,Solitude,6260,200000.0,2005,Drama,,,4.8,82.0
869,The Sound of Music,286214286,8200000.0,1965,Musical,Robert Wise,81.0,6.3,45.0
870,She's the One,13795053,3500000.0,1996,Romantic Comedy,Edward Burns,60.0,6.0,8159.0
871,Straight out of Brooklyn,2712293,450000.0,1991,,,100.0,5.6,263.0
872,Spaceballs,38119483,22700000.0,1987,Comedy,Mel Brooks,65.0,6.9,52434.0
873,Speed,283200000,30000000.0,1994,Action,Jan De Bont,90.0,2.6,4175.0
874,Species,113354449,35000000.0,1995,Action,Roger Donaldson,39.0,5.6,21917.0
875,Sphinx,11400000,10000000.0,1981,Thriller/Suspense,Franklin J. Schaffner,,4.9,478.0
876,Spaced Invaders,15000000,3000000.0,1990,Comedy,Patrick Read Johnson,9.0,4.8,1464.0
877,Spellbound,7000000,1500000.0,1945,,Alfred Hitchcock,87.0,7.7,14665.0
878,Splash,62599495,8000000.0,1984,Comedy,Ron Howard,91.0,6.2,21732.0
879,Superman IV: The Quest for Peace,11227824,17000000.0,1987,Action,Sidney J. Furie,,3.4,15164.0
880,Superman II,108185706,50000000.0,1981,Adventure,Richard Donner,,6.7,29512.0
881,Superman III,59950623,39000000.0,1983,Adventure,,23.0,4.7,18070.0
882,Sparkler,5494,1000000.0,1999,,,17.0,5.5,320.0
883,Superman,300200000,55000000.0,1978,Adventure,Richard Donner,94.0,4.9,129.0
884,The Specialist,57362581,45000000.0,1994,Action,,4.0,4.9,18749.0
885,The Sorcerer,12000000,21600000.0,1977,,William Friedkin,,6.8,563.0
886,Sisters in Law,33312,300000.0,2006,Documentary,,,6.7,203.0
887,Smilla's Sense of Snow,2221994,35000000.0,1997,Thriller/Suspense,Bille August,53.0,6.1,7280.0
888,Assassins,83306268,50000000.0,1995,Action,Richard Donner,9.0,5.9,23370.0
889,Star Trek: The Motion Picture,139000000,35000000.0,1979,Adventure,Robert Wise,48.0,6.2,25454.0
890,Star Trek III: The Search for Spock,87000000,18000000.0,1984,Adventure,Leonard Nimoy,,6.5,22261.0
891,Star Trek IV: The Voyage Home,133000000,24000000.0,1986,Adventure,Leonard Nimoy,,7.3,26207.0
892,Stand by Me,52287414,8000000.0,1986,Drama,Rob Reiner,94.0,8.2,90143.0
893,Stone Cold,9286314,25000000.0,1991,Action,,29.0,4.6,52.0
894,The Stewardesses,25000000,200000.0,1969,,,,4.3,86.0
895,Street Fighter,99423000,35000000.0,1994,Action,,13.0,3.3,25407.0
896,Star Trek II: The Wrath of Khan,96800000,12000000.0,1982,Adventure,,,7.8,36131.0
897,Steal (Canadian Release),220944,15000000.0,2003,,,,,
898,The Sting,159616327,5500000.0,1973,,George Roy Hill,91.0,8.4,65866.0
899,Stonewall,304602,2000000.0,1996,Drama,,,7.0,741.0
900,Star Trek V: The Final Frontier,70200000,30000000.0,1989,Action,,,5.0,20600.0
901,Star Trek VI: The Undiscovered Country,96900000,27000000.0,1991,Action,,,7.2,23546.0
902,Star Trek: Generations,120000000,38000000.0,1994,Adventure,,,6.5,26465.0
903,Stripes,85300000,10000000.0,1981,Comedy,Ivan Reitman,88.0,6.8,19618.0
904,Striptease,32773011,50000000.0,1996,Comedy,Andrew Bergman,12.0,3.9,18012.0
905,Star Wars Ep. IV: A New Hope,797900000,11000000.0,1977,Adventure,George Lucas,,,
906,Saints and Soldiers,1310470,780000.0,2004,Drama,Ryan Little,,7.0,7581.0
907,Steppin: The Movie,0,1000000.0,2008,Comedy,,,3.3,108.0
908,Strangers on a Train,7000000,1200000.0,1951,,Alfred Hitchcock,98.0,8.3,34284.0
909,Sugar Hill,18272447,10000000.0,1994,Drama,,22.0,5.3,1627.0
910,Stiff Upper Lips,69582,5700000.0,1999,,,29.0,6.1,543.0
911,Shichinin no samurai,271736,500000.0,1956,Action,Akira Kurosawa,,8.8,96698.0
912,Sweet Charity,8000000,20000000.0,1969,,Bob Fosse,,7.0,1691.0
913,Sands of Iwo Jima,7800000,1000000.0,1949,,,100.0,7.1,4160.0
914,The Spy Who Loved Me,185400000,14000000.0,1977,Action,,78.0,7.1,24938.0
915,The Swindle,5045359,10000000.0,1998,Comedy,,,5.2,1417.0
916,Swingers,6542637,200000.0,1996,Comedy,Doug Liman,86.0,6.2,431.0
917,Snow White and the Seven Dwarfs,184925485,1488000.0,1937,Musical,,97.0,7.8,38141.0
918,The Sweet Hereafter,4306697,5000000.0,1997,Drama,Atom Egoyan,100.0,7.8,16280.0
919,She Wore a Yellow Ribbon,5400000,1600000.0,1949,,John Ford,100.0,7.3,5825.0
920,Sex with Strangers,247740,1100000.0,2002,Documentary,,39.0,5.0,151.0
921,Spy Hard,26936265,18000000.0,1996,Comedy,,7.0,4.7,12682.0
922,Shi Yue Wei Cheng,44195779,23000000.0,2009,,,,6.9,1795.0
923,Tango,1687311,4500000.0,1999,Drama,,,6.9,1490.0
924,The Age of Innocence,32014993,34000000.0,1993,Drama,Martin Scorsese,81.0,7.1,16000.0
925,Talk Radio,3468572,4000000.0,1988,Drama,Oliver Stone,80.0,7.0,5659.0
926,The Texas Chainsaw Massacre,26572439,140000.0,1974,Horror,Tobe Hooper,90.0,6.1,39172.0
927,The Texas Chainsaw Massacre 2,8025872,4700000.0,1986,Horror,Tobe Hooper,43.0,5.1,7702.0
928,Timecop,102053581,28000000.0,1994,Action,Peter Hyams,47.0,5.5,16570.0
929,Tin Cup,75854588,45000000.0,1996,Romantic Comedy,Ron Shelton,69.0,6.1,17274.0
930,Torn Curtain,13000000,3000000.0,1966,,Alfred Hitchcock,81.0,6.6,8670.0
931,To Die For,27688744,20000000.0,1995,Black Comedy,Gus Van Sant,87.0,6.8,18459.0
932,Terror Train,8000000,3500000.0,1980,,Roger Spottiswoode,33.0,5.5,2479.0
933,Teen Wolf Too,7888000,3000000.0,1987,Comedy,,14.0,2.8,5207.0
934,The Fan,18582965,55000000.0,1996,Thriller/Suspense,Tony Scott,40.0,5.6,20640.0
935,Timber Falls,0,2600000.0,2007,Horror,,38.0,5.3,2213.0
936,Tae Guik Gi: The Brotherhood of War,69826708,12500000.0,2004,Drama,,,,
937,The Incredibly True Adventure of Two Girls in Love,2477155,250000.0,1995,Drama,,,5.8,1795.0
938,There Goes My Baby,125169,10500000.0,1994,Comedy,,,6.3,507.0
939,Tank Girl,4064333,25000000.0,1995,Action,,42.0,4.7,10772.0
940,Top Gun,353786701,15000000.0,1986,Action,Tony Scott,45.0,6.5,80013.0
941,Thunderball,141200000,9000000.0,1965,Action,,91.0,7.0,27245.0
942,The Calling,0,2500000.0,2009,,,,3.4,1113.0
943,The Craft,55669466,15000000.0,1996,Thriller/Suspense,Andrew Fleming,45.0,5.9,21130.0
944,It Happened One Night,2500000,325000.0,1934,Romantic Comedy,Frank Capra,97.0,8.3,25074.0
945,The Net,110521733,22000000.0,1995,Thriller/Suspense,,33.0,5.6,24363.0
946,La otra conquista,886410,3500000.0,1900,Drama,,,6.1,584.0
947,The Journey,19800,500000.0,2003,,,,4.4,74.0
948,They Live,13000000,4000000.0,1988,Thriller/Suspense,John Carpenter,88.0,7.0,20995.0
949,Tales from the Hood,11784569,6000000.0,1995,Horror,,33.0,5.8,1860.0
950,Time Bandits,37400000,12000000.0,1981,Adventure,Terry Gilliam,94.0,6.9,22719.0
951,Tombstone,56505000,25000000.0,1993,Western,George P. Cosmatos,77.0,7.7,43688.0
952,Time Changer,1500711,825000.0,2002,Drama,,22.0,5.0,1029.0
953,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813,25000000.0,1991,Adventure,,,5.3,12742.0
954,Teenage Mutant Ninja Turtles III,42273609,21000000.0,1993,Adventure,,30.0,4.3,9064.0
955,Tango & Cash,63408614,55000000.0,1989,Action,Andrei Konchalovsky,39.0,5.8,25248.0
956,Teenage Mutant Ninja Turtles,202000000,13500000.0,1990,Adventure,Steve Barron,,6.4,25867.0
957,Topaz,6000000,4000000.0,1969,,Alfred Hitchcock,71.0,6.2,6389.0
958,Taps,35856053,14000000.0,1981,Drama,Harold Becker,79.0,6.5,6515.0
959,Trainspotting,24000785,3100000.0,1996,Drama,Danny Boyle,89.0,8.2,150483.0
960,The Train,6800000,5800000.0,1965,,John Frankenheimer,83.0,7.8,4692.0
961,Troop Beverly Hills,7190505,18000000.0,1989,Comedy,,8.0,4.7,3427.0
962,Trekkies,617172,375000.0,1999,Documentary,,,6.9,3004.0
963,True Lies,365300000,100000000.0,1994,Action,James Cameron,69.0,7.2,80581.0
964,Terminator 2: Judgment Day,516816151,100000000.0,1991,Action,James Cameron,98.0,8.5,237477.0
965,Travellers and Magicians,1058893,1800000.0,2005,Drama,,,7.4,1069.0
966,The Terminator,78019031,6400000.0,1984,Action,James Cameron,100.0,8.1,179606.0
967,Tremors,16667084,10000000.0,1990,Action,,88.0,7.2,29840.0
968,True Romance,12281000,12500000.0,1993,Thriller/Suspense,Tony Scott,91.0,7.9,73829.0
969,Tron,26918576,17000000.0,1982,Action,,68.0,2.9,923.0
970,Trapeze,14400000,4000000.0,1956,,,60.0,6.7,1570.0
971,The Terrorist,195043,25000.0,1900,,,,5.5,50.0
972,Trois,1161843,200000.0,1900,Thriller/Suspense,,,3.3,360.0
